N	Seq1	Seq2	Seq3	Seq4
2955	2493 | SA150_2493 | . | PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein | dir | [2639518..2639967]	2446 | SA597_2446 | . | PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein | dir | [2595325..2595774]	2661 | K8B78_13710 | . | glyoxalase/bleomycin resistance/extradiol dioxygenase family protein | dir | [2744751..2745200]	2346 | HMPRNC0000_2879 | . | PhnB protein, putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein | dir | [2649174..2649623]
2957	2495 | SA150_2495 | . | Predicted acyl esterase/dipeptidyl-peptidase | dir | [2640778..2642460]	2449 | SA597_2449 | . | Predicted acyl esterase/dipeptidyl-peptidase | dir | [2596586..2598268]	2663 | K8B78_13720 | . | CocE/NonD family hydrolase | dir | [2746011..2747693]	2348 | HMPRNC0000_2882 | . | putative acyl esterase/dipeptidyl-peptidase | dir | [2650434..2652116]
2959	2497 | SA150_2497 | . | Aspartate 1-decarboxylase (EC 4.1.1.11) | rev | [2643531..2643914]	2450 | SA597_2450 | . | Aspartate 1-decarboxylase (EC 4.1.1.11) | rev | [2598397..2598780]	2664 | K8B78_13725 | . | aspartate 1-decarboxylase | rev | [2747822..2748205]	2350 | HMPRNC0000_2884 | panD | Aspartate 1-decarboxylase | rev | [2653197..2653580]
2960	2498 | SA150_2498 | . | Pantoate--beta-alanine ligase (EC 6.3.2.1) | rev | [2643916..2644767]	2451 | SA597_2451 | . | Pantoate--beta-alanine ligase (EC 6.3.2.1) | rev | [2598782..2599633]	2665 | K8B78_13730 | panC | pantoate--beta-alanine ligase | rev | [2748207..2749058]	2351 | HMPRNC0000_2885 | panC | Pantoate--beta-alanine ligase | rev | [2653582..2654433]
2961	2499 | SA150_2499 | . | 3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) | rev | [2644760..2645578]	2452 | SA597_2452 | . | 3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) | rev | [2599626..2600444]	2666 | K8B78_13735 | panB | 3-methyl-2-oxobutanoate hydroxymethyltransferase | rev | [2749051..2749869]	2352 | HMPRNC0000_2886 | panB | 3-methyl-2-oxobutanoate hydroxymethyltransferase | rev | [2654426..2655244]
2962	2500 | SA150_2500 | . | 2-dehydropantoate 2-reductase (EC 1.1.1.169) | dir | [2645651..2646511]	2453 | SA597_2453 | . | 2-dehydropantoate 2-reductase (EC 1.1.1.169) | dir | [2600517..2601377]	2667 | K8B78_13740 | . | oxidoreductase | dir | [2749942..2750802]	2353 | HMPRNC0000_2887 | panE2 | 2-dehydropantoate 2-reductase | dir | [2655317..2656177]
2963	2501 | SA150_2501 | . | Alpha-acetolactate decarboxylase (EC 4.1.1.5) | rev | [2646597..2647301]	2454 | SA597_2454 | . | Alpha-acetolactate decarboxylase (EC 4.1.1.5) | rev | [2601455..2602159]	2668 | K8B78_13745 | budA | acetolactate decarboxylase | rev | [2750888..2751592]	2354 | HMPRNC0000_2888 | budA | Alpha-acetolactate decarboxylase | rev | [2656263..2656967]
2964	2502 | SA150_2502 | . | L-lactate dehydrogenase (EC 1.1.1.27) | rev | [2647579..2648538]	2455 | SA597_2455 | . | L-lactate dehydrogenase (EC 1.1.1.27) | rev | [2602437..2603396]	2669 | K8B78_13750 | . | L-lactate dehydrogenase | rev | [2751870..2752829]	2355 | HMPRNC0000_2889 | ldhB | L-lactate dehydrogenase | rev | [2657245..2658204]
2966	2504 | SA150_2504 | . | Uncharacterized amino acid permease, GabP family | dir | [2649225..2650673]	2456 | SA597_2456 | . | Uncharacterized amino acid permease, GabP family | dir | [2604083..2605531]	2670 | K8B78_13755 | . | amino acid permease | dir | [2753515..2754963]	2356 | HMPRNC0000_2891 | . | amino acid permease, GabP family | dir | [2658891..2660339]
2968	2505 | SA150_2505 | . | Aminotransferase | rev | [2650753..2652090]	2457 | SA597_2457 | . | Aminotransferase | rev | [2605611..2606948]	2671 | K8B78_13760 | . | aspartate aminotransferase family protein | rev | [2755043..2756380]	2357 | HMPRNC0000_2892 | gabT | Aminotransferase | rev | [2660419..2661756]
2969	2506 | SA150_2506 | . | hypothetical protein | dir | [2652348..2652764]	2458 | SA597_2458 | . | hypothetical protein | dir | [2607202..2607618]	2672 | K8B78_13765 | . | hypothetical protein | dir | [2756634..2757050]	2358 | HMPRNC0000_2893 | . | hypothetical protein | dir | [2662014..2662430]
2970	2507 | SA150_2507 | . | Fructose-bisphosphate aldolase class I (EC 4.1.2.13) | dir | [2652887..2653777]	2459 | SA597_2459 | . | Fructose-bisphosphate aldolase class I (EC 4.1.2.13) | dir | [2607741..2608631]	2673 | K8B78_13770 | . | fructose bisphosphate aldolase | dir | [2757173..2758063]	2359 | HMPRNC0000_2894 | fdaB | Fructose-bisphosphate aldolase class I | dir | [2662553..2663443]
2971	2508 | SA150_2508 | . | Malate:quinone oxidoreductase (EC 1.1.5.4) | rev | [2653970..2655466]	2460 | SA597_2460 | . | Malate:quinone oxidoreductase (EC 1.1.5.4) | rev | [2608827..2610323]	2674 | K8B78_13775 | mqo | malate dehydrogenase (quinone) | rev | [2758256..2759752]	2360 | HMPRNC0000_2895 | mqo | Malate:quinone oxidoreductase | rev | [2663637..2665133]
2972	2509 | SA150_2509 | . | Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases, YtcI homolog | rev | [2656151..2657770]	2462 | SA597_2462 | . | Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases, YtcI homolog | rev | [2611011..2612627]	2676 | K8B78_13785 | . | AMP-binding protein | rev | [2760439..2762037]	2361 | HMPRNC0000_2896 | acsA | Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase | rev | [2665818..2667437]
2973	2510 | SA150_2510 | . | hypothetical protein | rev | [2657943..2658386]	2463 | SA597_2463 | . | hypothetical protein | rev | [2612800..2613243]	2677 | K8B78_13790 | . | antibiotic biosynthesis monooxygenase | rev | [2762231..2762674]	2362 | HMPRNC0000_2898 | . | hypothetical protein | rev | [2667610..2668053]
2974	2511 | SA150_2511 | . | hypothetical protein | rev | [2658667..2658879]	2464 | SA597_2464 | . | hypothetical protein | rev | [2613523..2613735]	2678 | K8B78_13795 | . | sterile alpha motif-like domain-containing protein | rev | [2762954..2763166]	2363 | HMPRNC0000_2900 | . | hypothetical protein | rev | [2668333..2668545]
2975	2512 | SA150_2512 | . | Choline dehydrogenase (EC 1.1.99.1) | rev | [2659157..2660866]	2465 | SA597_2465 | . | Choline dehydrogenase (EC 1.1.99.1) | rev | [2614013..2615722]	2679 | K8B78_13800 | betA | choline dehydrogenase | rev | [2763444..2765153]	2364 | HMPRNC0000_2901 | betA | Choline dehydrogenase | rev | [2668823..2670532]
2976	2513 | SA150_2513 | . | Betaine aldehyde dehydrogenase (EC 1.2.1.8) | rev | [2661127..2662617]	2466 | SA597_2466 | . | Betaine aldehyde dehydrogenase (EC 1.2.1.8) | rev | [2615982..2617472]	2680 | K8B78_13805 | betB | betaine-aldehyde dehydrogenase | rev | [2765414..2766904]	2365 | HMPRNC0000_2903 | betB | Betaine aldehyde dehydrogenase | rev | [2670793..2672283]
2978	2514 | SA150_2514 | . | FIG009707: Betaine operon transcriptional regulator | dir | [2662870..2663433]	2467 | SA597_2467 | . | FIG009707: Betaine operon transcriptional regulator | dir | [2617725..2618288]	2682 | K8B78_13815 | . | GbsR/MarR family transcriptional regulator | dir | [2767157..2767720]	2366 | HMPRNC0000_2904 | . | Betaine operon transcriptional regulator | dir | [2672536..2673099]
2979	2515 | SA150_2515 | . | Betaine/carnitine/choline transporter (BCCT) family | rev | [2663603..2665225]	2468 | SA597_2468 | . | Betaine/carnitine/choline transporter (BCCT) family | rev | [2618458..2620080]	2683 | K8B78_13820 | . | BCCT family transporter | rev | [2767890..2769512]	2368 | HMPRNC0000_2906 | cudT | Betaine/carnitine/choline transporter (BCCT) family | rev | [2674237..2675859]
2980	2516 | SA150_2516 | . | Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4) | rev | [2665744..2666280]	2470 | SA597_2470 | . | Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4) | rev | [2620599..2621135]	2686 | K8B78_13835 | nrdG | anaerobic ribonucleoside-triphosphate reductase activating protein | rev | [2770030..2770566]	2369 | HMPRNC0000_2907 | nrdG | Ribonucleotide reductase of class III (anaerobic), activating protein | rev | [2676378..2676914]
2981	2517 | SA150_2517 | . | Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2) | rev | [2666277..2668127]	2471 | SA597_2471 | . | Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2) | rev | [2621132..2622982]	2687 | K8B78_13840 | nrdD | anaerobic ribonucleoside-triphosphate reductase | rev | [2770563..2772413]	2370 | HMPRNC0000_2908 | nrdD | Ribonucleotide reductase of class III (anaerobic), large subunit | rev | [2676911..2678761]
2982	2518 | SA150_2518 | . | Citrate/H+ symporter of CitMHS family | rev | [2668374..2669744]	2472 | SA597_2472 | . | Citrate/H+ symporter of CitMHS family | rev | [2623227..2624597]	2688 | K8B78_13845 | . | CitMHS family transporter | rev | [2772660..2774030]	2371 | HMPRNC0000_2910 | . | Citrate/H+ symporter of CitMHS family | rev | [2679007..2680377]
2983	2519 | SA150_2519 | . | Precorrin-2 oxidase (EC 1.3.1.76) | rev | [2670236..2670841]	2473 | SA597_2473 | . | Precorrin-2 oxidase (EC 1.3.1.76) | rev | [2625079..2625687]	2690 | K8B78_13855 | . | NAD(P)-binding protein | rev | [2774519..2775127]	2372 | HMPRNC0000_2911 | . | Precorrin-2 oxidase | rev | [2680870..2681475]
2984	2520 | SA150_2520 | . | Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2) | rev | [2670904..2672784]	2474 | SA597_2474 | . | Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2) | rev | [2625750..2627630]	2691 | K8B78_13860 | . | assimilatory sulfite reductase (NADPH) flavoprotein subunit | rev | [2775193..2777073]	2373 | HMPRNC0000_2912 | cysJ | Sulfite reductase (NADPH) flavoprotein alpha-component | rev | [2681538..2683418]
2985	2521 | SA150_2521 | . | Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15) | rev | [2673179..2673676]	2475 | SA597_2475 | . | Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15) | rev | [2628021..2628518]	2693 | K8B78_13870 | . | glutathione peroxidase | rev | [2777464..2777961]	2374 | HMPRNC0000_2914 | gpo | Glutathione peroxidase and Thioredoxin peroxidase | rev | [2683813..2684310]
2988	2523 | SA150_2523 | . | ABC transporter-like sensor and permease protein SAV2622 | rev | [2675100..2677100]	2478 | SA597_2478 | . | ABC transporter-like sensor and permease protein SAV2622 | rev | [2629958..2631958]	2696 | K8B78_13885 | . | ABC transporter permease | rev | [2779402..2781402]	2375 | HMPRNC0000_2915 | . | ABC transporter sensor and permease protein | rev | [2685733..2687733]
2989	2524 | SA150_2524 | . | ABC transporter-like sensor ATP-binding protein SAV2623 | rev | [2677097..2677852]	2479 | SA597_2479 | . | ABC transporter-like sensor ATP-binding protein SAV2623 | rev | [2631955..2632710]	2697 | K8B78_13890 | . | ABC transporter ATP-binding protein | rev | [2781399..2782154]	2376 | HMPRNC0000_2916 | . | ABC transporter sensor ATP-binding protein | rev | [2687730..2688485]
2990	2525 | SA150_2525 | . | ABC transporter-like sensor linked histidine kinase SAV2624 | rev | [2677961..2678848]	2480 | SA597_2480 | . | ABC transporter-like sensor linked histidine kinase SAV2624 | rev | [2632818..2633705]	2698 | K8B78_13895 | nsaS | nisin susceptibility-associated two-component system sensor histidine kinase NsaS | rev | [2782262..2783149]	2377 | HMPRNC0000_2917 | . | ABC transporter sensor linked histidine kinase | rev | [2688592..2689479]
2991	2526 | SA150_2526 | . | ABC transporter-like sensor linked response regulator SAV2625 | rev | [2678859..2679524]	2481 | SA597_2481 | . | ABC transporter-like sensor linked response regulator SAV2625 | rev | [2633716..2634381]	2699 | K8B78_13900 | nsaR | nisin susceptibility-associated two-component system response regulator NsaR | rev | [2783160..2783825]	2378 | HMPRNC0000_2918 | . | ABC transporter sensor linked response regulator | rev | [2689490..2690155]
2992	2527 | SA150_2527 | . | hypothetical protein | rev | [2679550..2679750]	2482 | SA597_2482 | . | hypothetical protein | rev | [2634407..2634607]	2700 | K8B78_13905 | . | hypothetical protein | rev | [2783851..2784051]	2379 | HMPRNC0000_2919 | . | hypothetical protein | rev | [2690181..2690381]
2993	2528 | SA150_2528 | . | Alkaline phosphatase (EC 3.1.3.1) | dir | [2679948..2681372]	2483 | SA597_2483 | . | Alkaline phosphatase (EC 3.1.3.1) | dir | [2634805..2636229]	2701 | K8B78_13910 | . | alkaline phosphatase | dir | [2784249..2785673]	2380 | HMPRNC0000_2920 | phoB | Alkaline phosphatase | dir | [2690579..2691766]
2996	2530 | SA150_2530 | . | Transcriptional regulator, MarR family | rev | [2681655..2682110]	2485 | SA597_2485 | . | Transcriptional regulator, MarR family | rev | [2636512..2636967]	2703 | K8B78_13920 | . | MarR family winged helix-turn-helix transcriptional regulator | rev | [2785956..2786411]	2381 | HMPRNC0000_2922 | . | Transcriptional regulator, MarR family | rev | [2692285..2692803]
2997	2531 | SA150_2531 | . | Tributyrin esterase | rev | [2682355..2683116]	2486 | SA597_2486 | . | Tributyrin esterase | rev | [2637207..2637968]	2704 | K8B78_13925 | . | esterase family protein | rev | [2786656..2787417]	2382 | HMPRNC0000_2923 | estA | Tributyrin esterase | rev | [2692985..2693746]
2998	2532 | SA150_2532 | . | Clumping factor ClfB, fibrinogen binding protein | rev | [2683232..2685853]	2487 | SA597_2487 | . | Clumping factor ClfB, fibrinogen binding protein | rev | [2638084..2641089]	2705 | K8B78_13930 | clfB | MSCRAMM family adhesin clumping factor ClfB | rev | [2787533..2790100]	2384 | HMPRNC0000_2926 | clfB | Clumping factor ClfB, fibrinogen binding protein | rev | [2694579..2696636]
3000	2533 | SA150_2533 | . | Transcriptional regulator ArcR essential for anaerobic expression of the ADI pathway, Crp/Fnr family | rev | [2686203..2686907]	2488 | SA597_2488 | . | Transcriptional regulator ArcR essential for anaerobic expression of the ADI pathway, Crp/Fnr family | rev | [2641438..2642142]	2706 | K8B78_13935 | . | Crp/Fnr family transcriptional regulator | rev | [2790450..2791154]	2385 | HMPRNC0000_2927 | arcR | Transcriptional regulator ArcR essential for anaerobic expression of the ADI pathway, Crp/Fnr family | rev | [2696967..2697671]
3001	2534 | SA150_2534 | . | Carbamate kinase (EC 2.7.2.2) | rev | [2687006..2687947]	2489 | SA597_2489 | . | Carbamate kinase (EC 2.7.2.2) | rev | [2642241..2643182]	2707 | K8B78_13940 | arcC | carbamate kinase | rev | [2791253..2792194]	2386 | HMPRNC0000_2929 | arcC | Carbamate kinase | rev | [2697770..2698711]
3002	2535 | SA150_2535 | . | Arginine/ornithine antiporter ArcD | rev | [2687964..2689394]	2490 | SA597_2490 | . | Arginine/ornithine antiporter ArcD | rev | [2643199..2644629]	2708 | K8B78_13945 | arcD | arginine-ornithine antiporter | rev | [2792211..2793641]	2387 | HMPRNC0000_2932 | arcD | Arginine/ornithine antiporter ArcD | rev | [2698728..2700158]
3003	2536 | SA150_2536 | . | Ornithine carbamoyltransferase (EC 2.1.3.3) | rev | [2689485..2690495]	2491 | SA597_2491 | . | Ornithine carbamoyltransferase (EC 2.1.3.3) | rev | [2644720..2645730]	2709 | K8B78_13950 | argF | ornithine carbamoyltransferase | rev | [2793732..2794742]	2388 | HMPRNC0000_2934 | argF | Ornithine carbamoyltransferase | rev | [2700249..2701259]
3004	2537 | SA150_2537 | . | Arginine deiminase (EC 3.5.3.6) | rev | [2690528..2691763]	2492 | SA597_2492 | . | Arginine deiminase (EC 3.5.3.6) | rev | [2645763..2646998]	2710 | K8B78_13955 | arcA | arginine deiminase | rev | [2794775..2796010]	2389 | HMPRNC0000_2935 | arcA | Arginine deiminase | rev | [2701292..2702527]
3005	2538 | SA150_2538 | . | Arginine pathway regulatory protein ArgR, repressor of arg regulon | rev | [2692110..2692559]	2493 | SA597_2493 | . | Arginine pathway regulatory protein ArgR, repressor of arg regulon | rev | [2647345..2647794]	2712 | K8B78_13965 | . | arginine repressor | rev | [2796357..2796806]	2390 | HMPRNC0000_2936 | . | Arginine pathway regulatory protein ArgR, repressor of arg regulon | rev | [2702874..2703323]
3006	2539 | SA150_2539 | . | Zinc metalloproteinase aureolysin (EC 3.4.24.29) | rev | [2692926..2694455]	2494 | SA597_2494 | . | Zinc metalloproteinase aureolysin (EC 3.4.24.29) | rev | [2648161..2649690]	2713 | K8B78_13970 | aur | zinc metalloproteinase aureolysin | rev | [2797173..2798702]	2391 | HMPRNC0000_2937 | aur | Zinc metalloproteinase aureolysin | rev | [2703690..2705219]
3008	2540 | SA150_2540 | . | immunodominant antigen B | rev | [2694879..2695406]	2495 | SA597_2495 | . | immunodominant antigen B | rev | [2650104..2650631]	2714 | K8B78_13975 | isaB | immunodominant staphylococcal antigen IsaB | rev | [2799116..2799643]	2392 | HMPRNC0000_2938 | isaB | immunodominant antigen B | rev | [2705643..2706170]
3009	2541 | SA150_2541 | . | hypothetical protein | dir | [2695664..2696122]	2496 | SA597_2496 | . | hypothetical protein | dir |[2650884..2651372]	2715 | K8B78_13980 | . | hypothetical protein | dir |[2799899..2800372]	2393 | HMPRNC0000_2940 | . | hypothetical protein | dir | [2706429..2706887]
3010	2542 | SA150_2542 | . | Activator of the mannose operon (transcriptional antiterminator), BglG family | dir | [2696362..2698236]	2497 | SA597_2497 | . | Activator of the mannose operon (transcriptional antiterminator), BglG family | dir | [2651612..2653486]	2716 | K8B78_13985 | . | BglG family transcription antiterminator | dir | [2800612..2802486]	2394 | HMPRNC0000_2941 | . | Activator of the mannose operon (transcriptional antiterminator), BglG family | dir | [2707127..2709001]
3011	2543 | SA150_2543 | . | PTS system, mannose-specific IIB component (EC 2.7.1.191) / PTS system, mannose-specific IIC component / PTS system, mannose-specific IIA component (EC 2.7.1.191) | dir | [2698314..2700266]	2498 | SA597_2498 | . | PTS system, mannose-specific IIB component (EC 2.7.1.191) / PTS system, mannose-specific IIC component / PTS system, mannose-specific IIA component (EC 2.7.1.191) | dir | [2653563..2655515]	2717 | K8B78_13990 | . | PTS fructose transporter subunit IIABC | dir | [2802563..2804515]	2395 | HMPRNC0000_2942 | manA | PTS system, mannose-specific IIB/IIC/IIA component | dir | [2709078..2711981]
3014	2545 | SA150_2545 | . | Phage infection protein | rev | [2701329..2704301]	2500 | SA597_2500 | . | Phage infection protein | rev | [2656579..2659560]	2719 | K8B78_14000 | . | YhgE/Pip domain-containing protein | rev | [2805579..2808560]	2396 | HMPRNC0000_2944 | . | Phage infection protein | rev | [2712093..2715074]
